'Elevation', 'Aspect', 'Slope', 'HydroH', 'HydroV', 'RoadH', 'Shade9', 'Shade12', 'Shade15', 'FireH', 'ftype'
2739.0, 323.0, 25.0, 85.0, 43.0, 3118.0, 149.0, 205.0, 192.0, 6219.0,Spruce
2696.0, 72.0, 2.0, 30.0, 0.0, 3271.0, 222.0, 234.0, 149.0, 6071.0,Spruce
2510.0, 79.0, 14.0, 192.0, 19.0, 891.0, 237.0, 215.0, 106.0, 5325.0,Aspen
2502.0, 81.0, 7.0, 175.0, 11.0, 912.0, 230.0, 227.0, 129.0, 5316.0,Aspen
2722.0, 315.0, 24.0, 30.0, 19.0, 3216.0, 148.0, 212.0, 200.0, 6132.0,Spruce
2500.0, 74.0, 11.0, 190.0, 9.0, 930.0, 233.0, 219.0, 116.0, 5279.0,Aspen
2486.0, 68.0, 5.0, 180.0, -4.0, 870.0, 225.0, 230.0, 139.0, 5262.0,Aspen
2489.0, 11.0, 4.0, 175.0, 13.0, 840.0, 216.0, 232.0, 153.0, 5254.0,Aspen
2489.0, 42.0, 6.0, 162.0, 13.0, 810.0, 221.0, 227.0, 141.0, 5247.0,Aspen
2490.0, 75.0, 5.0, 134.0, 17.0, 810.0, 227.0, 230.0, 137.0, 5218.0,Aspen
2952.0, 107.0, 11.0, 42.0, 7.0, 5845.0, 239.0, 226.0, 116.0, 3509.0,Lodgepole
2705.0, 90.0, 8.0, 134.0, 22.0, 2023.0, 232.0, 228.0, 129.0, 6615.0,Lodgepole
2507.0, 40.0, 7.0, 153.0, 10.0, 930.0, 221.0, 224.0, 138.0, 5221.0,Aspen
2500.0, 49.0, 14.0, 150.0, 27.0, 870.0, 225.0, 210.0, 116.0, 5205.0,Aspen
2493.0, 63.0, 10.0, 127.0, 20.0, 840.0, 229.0, 221.0, 124.0, 5197.0,Aspen
2509.0, 59.0, 7.0, 134.0, 10.0, 900.0, 226.0, 226.0, 134.0, 5184.0,Aspen
2919.0, 13.0, 13.0, 90.0, 6.0, 5321.0, 207.0, 214.0, 142.0, 4060.0,Spruce
2740.0, 54.0, 6.0, 218.0, 42.0, 2287.0, 224.0, 227.0, 138.0, 6686.0,Lodgepole
2640.0, 80.0, 8.0, 180.0, -2.0, 1092.0, 231.0, 225.0, 127.0, 5866.0,Lodgepole
2843.0, 166.0, 12.0, 242.0, 53.0, 4434.0, 230.0, 244.0, 144.0, 4956.0,Lodgepole
3008.0, 45.0, 14.0, 277.0, 10.0, 6371.0, 223.0, 208.0, 116.0, 3036.0,Lodgepole
2893.0, 114.0, 16.0, 108.0, 30.0, 5066.0, 245.0, 223.0, 102.0, 4340.0,Lodgepole
2850.0, 6.0, 9.0, 0.0, 0.0, 4858.0, 210.0, 223.0, 151.0, 4548.0,Lodgepole
2628.0, 30.0, 10.0, 240.0, 19.0, 960.0, 217.0, 218.0, 136.0, 5645.0,Lodgepole
2864.0, 118.0, 18.0, 201.0, 74.0, 4567.0, 248.0, 221.0, 93.0, 4849.0,Lodgepole
2827.0, 160.0, 28.0, 134.0, 65.0, 3948.0, 235.0, 233.0, 108.0, 5474.0,Lodgepole
2529.0, 326.0, 5.0, 30.0, 14.0, 1062.0, 207.0, 234.0, 166.0, 5047.0,Lodgepole
2808.0, 99.0, 7.0, 382.0, 95.0, 3107.0, 233.0, 230.0, 130.0, 6341.0,Spruce
2840.0, 153.0, 26.0, 134.0, 42.0, 4613.0, 241.0, 231.0, 102.0, 4833.0,Lodgepole
2795.0, 79.0, 10.0, 531.0, 96.0, 2980.0, 233.0, 223.0, 121.0, 6497.0,Spruce
2746.0, 143.0, 16.0, 67.0, 22.0, 2440.0, 241.0, 235.0, 119.0, 6597.0,Lodgepole
2847.0, 352.0, 26.0, 150.0, 82.0, 3697.0, 166.0, 187.0, 152.0, 5796.0,Spruce
2840.0, 14.0, 14.0, 216.0, 88.0, 3552.0, 206.0, 210.0, 140.0, 5944.0,Spruce
2537.0, 42.0, 7.0, 210.0, 17.0, 1132.0, 222.0, 224.0, 137.0, 4919.0,Lodgepole
2860.0, 358.0, 17.0, 175.0, 98.0, 3705.0, 191.0, 206.0, 151.0, 5800.0,Spruce
2818.0, 332.0, 26.0, 30.0, 17.0, 4526.0, 151.0, 197.0, 181.0, 4978.0,Lodgepole
2801.0, 18.0, 7.0, 560.0, 58.0, 3084.0, 215.0, 226.0, 148.0, 6457.0,Lodgepole
2791.0, 63.0, 10.0, 418.0, 48.0, 2942.0, 229.0, 221.0, 124.0, 6606.0,Lodgepole
2745.0, 306.0, 11.0, 67.0, 24.0, 2416.0, 190.0, 234.0, 184.0, 6428.0,Lodgepole
2514.0, 102.0, 6.0, 272.0, -5.0, 1082.0, 230.0, 233.0, 137.0, 4811.0,Lodgepole
2788.0, 13.0, 16.0, 30.0, 8.0, 4126.0, 203.0, 206.0, 137.0, 5396.0,Lodgepole
2562.0, 354.0, 12.0, 67.0, 9.0, 1057.0, 200.0, 218.0, 156.0, 5031.0,Lodgepole
3073.0, 173.0, 12.0, 108.0, -3.0, 6836.0, 227.0, 246.0, 149.0, 2735.0,Lodgepole
2978.0, 71.0, 10.0, 426.0, 85.0, 5742.0, 231.0, 221.0, 121.0, 3792.0,Lodgepole
2860.0, 31.0, 10.0, 295.0, 98.0, 3644.0, 218.0, 218.0, 135.0, 5904.0,Spruce
3067.0, 164.0, 11.0, 85.0, 7.0, 6811.0, 230.0, 243.0, 144.0, 2774.0,Lodgepole
2804.0, 72.0, 5.0, 543.0, 61.0, 3115.0, 225.0, 231.0, 141.0, 6471.0,Lodgepole
2562.0, 59.0, 3.0, 0.0, 0.0, 1116.0, 221.0, 233.0, 148.0, 5091.0,Lodgepole
2567.0, 34.0, 9.0, 190.0, 16.0, 1136.0, 219.0, 221.0, 138.0, 4924.0,Lodgepole
2998.0, 45.0, 8.0, 351.0, 16.0, 5842.0, 223.0, 222.0, 134.0, 3721.0,Lodgepole
2684.0, 84.0, 12.0, 150.0, 2.0, 1677.0, 237.0, 220.0, 113.0, 5693.0,Lodgepole
2676.0, 42.0, 11.0, 150.0, -5.0, 1634.0, 222.0, 216.0, 128.0, 5655.0,Lodgepole
2863.0, 102.0, 15.0, 190.0, 71.0, 4389.0, 244.0, 219.0, 100.0, 5184.0,Spruce
2574.0, 170.0, 5.0, 170.0, 23.0, 1180.0, 224.0, 242.0, 153.0, 4910.0,Lodgepole
2511.0, 211.0, 6.0, 162.0, 30.0, 1071.0, 216.0, 245.0, 166.0, 4660.0,Lodgepole
3067.0, 32.0, 4.0, 30.0, -2.0, 6679.0, 219.0, 230.0, 147.0, 2947.0,Lodgepole
2909.0, 57.0, 16.0, 134.0, 23.0, 5502.0, 229.0, 203.0, 102.0, 4084.0,Lodgepole
2863.0, 348.0, 14.0, 309.0, 89.0, 3918.0, 193.0, 216.0, 161.0, 5695.0,Spruce
2567.0, 333.0, 1.0, 0.0, 0.0, 1266.0, 216.0, 237.0, 158.0, 5079.0,Lodgepole
3182.0, 105.0, 11.0, 408.0, 33.0, 6000.0, 240.0, 226.0, 115.0, 1184.0,Spruce
2818.0, 324.0, 12.0, 242.0, 26.0, 4156.0, 189.0, 227.0, 177.0, 5467.0,Spruce
2752.0, 332.0, 6.0, 342.0, 24.0, 2372.0, 207.0, 233.0, 165.0, 6131.0,Lodgepole
2751.0, 88.0, 5.0, 400.0, 30.0, 2322.0, 228.0, 231.0, 137.0, 6088.0,Lodgepole
2569.0, 102.0, 7.0, 228.0, 18.0, 1266.0, 232.0, 231.0, 132.0, 4844.0,Lodgepole
3195.0, 111.0, 15.0, 469.0, 46.0, 5941.0, 245.0, 222.0, 101.0, 1206.0,Spruce
2982.0, 53.0, 14.0, 240.0, 63.0, 5756.0, 227.0, 209.0, 112.0, 3880.0,Lodgepole
2850.0, 58.0, 6.0, 295.0, 58.0, 4394.0, 225.0, 227.0, 137.0, 5239.0,Spruce
2586.0, 76.0, 4.0, 190.0, 30.0, 1290.0, 225.0, 232.0, 143.0, 4875.0,Lodgepole
2837.0, 17.0, 13.0, 330.0, 45.0, 4241.0, 208.0, 211.0, 138.0, 5428.0,Spruce
2723.0, 99.0, 6.0, 301.0, 34.0, 2109.0, 230.0, 232.0, 136.0, 5793.0,Lodgepole
3070.0, 0.0, 11.0, 30.0, -6.0, 6890.0, 204.0, 220.0, 153.0, 2858.0,Lodgepole
3057.0, 124.0, 12.0, 150.0, 53.0, 6508.0, 240.0, 231.0, 118.0, 3211.0,Lodgepole
2818.0, 119.0, 19.0, 30.0, 10.0, 5213.0, 248.0, 220.0, 92.0, 4497.0,Lodgepole
2847.0, 320.0, 33.0, 85.0, 39.0, 4983.0, 120.0, 190.0, 199.0, 4727.0,Lodgepole
2606.0, 112.0, 11.0, 30.0, 4.0, 1584.0, 239.0, 228.0, 119.0, 5106.0,Lodgepole
2893.0, 83.0, 6.0, 551.0, 101.0, 4011.0, 229.0, 230.0, 135.0, 5755.0,Lodgepole
2716.0, 1.0, 10.0, 234.0, 27.0, 2100.0, 206.0, 222.0, 153.0, 5581.0,Lodgepole
2644.0, 125.0, 20.0, 67.0, 25.0, 1719.0, 249.0, 221.0, 90.0, 5168.0,Lodgepole
2613.0, 37.0, 5.0, 216.0, 34.0, 1519.0, 220.0, 229.0, 146.0, 4818.0,Lodgepole
2929.0, 356.0, 12.0, 0.0, 0.0, 5757.0, 201.0, 219.0, 155.0, 4017.0,Lodgepole
2767.0, 307.0, 12.0, 30.0, 8.0, 2796.0, 187.0, 233.0, 186.0, 6192.0,Lodgepole
2991.0, 49.0, 13.0, 85.0, 0.0, 6199.0, 225.0, 211.0, 117.0, 3613.0,Spruce
2939.0, 56.0, 18.0, 95.0, 20.0, 5563.0, 229.0, 200.0, 98.0, 4224.0,Lodgepole
2537.0, 7.0, 12.0, 0.0, 0.0, 1583.0, 205.0, 216.0, 148.0, 4509.0,Lodgepole
3119.0, 119.0, 7.0, 162.0, 10.0, 6660.0, 233.0, 234.0, 133.0, 2556.0,Lodgepole
2942.0, 346.0, 12.0, 30.0, 3.0, 5918.0, 197.0, 221.0, 162.0, 3900.0,Spruce
2886.0, 12.0, 7.0, 570.0, 94.0, 4295.0, 213.0, 226.0, 150.0, 5518.0,Spruce
2775.0, 344.0, 13.0, 42.0, 7.0, 2854.0, 194.0, 219.0, 164.0, 6177.0,Lodgepole
2490.0, 79.0, 9.0, 240.0, 13.0, 878.0, 232.0, 224.0, 124.0, 4184.0,Lodgepole
3106.0, 228.0, 18.0, 658.0, 108.0, 5984.0, 191.0, 254.0, 196.0, 1655.0,Spruce
2831.0, 284.0, 24.0, 60.0, 23.0, 5208.0, 145.0, 232.0, 222.0, 4611.0,Lodgepole
2837.0, 112.0, 8.0, 272.0, 16.0, 3649.0, 235.0, 231.0, 128.0, 6221.0,Lodgepole
2890.0, 299.0, 23.0, 180.0, 79.0, 5104.0, 150.0, 224.0, 212.0, 4734.0,Lodgepole
2824.0, 135.0, 5.0, 218.0, 6.0, 3583.0, 227.0, 238.0, 144.0, 6316.0,Lodgepole
2728.0, 135.0, 3.0, 242.0, 32.0, 2250.0, 224.0, 238.0, 150.0, 5515.0,Lodgepole
2962.0, 88.0, 16.0, 190.0, 23.0, 6095.0, 242.0, 212.0, 95.0, 3811.0,Spruce
3142.0, 220.0, 11.0, 424.0, 69.0, 6216.0, 207.0, 251.0, 179.0, 1989.0,Lodgepole
2847.0, 2.0, 6.0, 175.0, 10.0, 3757.0, 212.0, 229.0, 154.0, 6194.0,Lodgepole
2536.0, 34.0, 5.0, 242.0, 16.0, 1242.0, 219.0, 228.0, 146.0, 4201.0,Lodgepole
3168.0, 95.0, 6.0, 30.0, 0.0, 4884.0, 229.0, 231.0, 136.0, 1239.0,Spruce
2926.0, 289.0, 24.0, 210.0, 99.0, 5126.0, 145.0, 228.0, 220.0, 4814.0,Spruce
2893.0, 21.0, 6.0, 295.0, 36.0, 4106.0, 216.0, 227.0, 148.0, 5865.0,Lodgepole
2687.0, 20.0, 11.0, 150.0, 39.0, 1986.0, 212.0, 217.0, 140.0, 4936.0,Lodgepole
3109.0, 211.0, 17.0, 424.0, 55.0, 6089.0, 204.0, 254.0, 181.0, 2017.0,Lodgepole
3119.0, 200.0, 20.0, 60.0, 0.0, 6297.0, 208.0, 253.0, 172.0, 2377.0,Lodgepole
2916.0, 349.0, 10.0, 488.0, 36.0, 4472.0, 202.0, 223.0, 160.0, 5502.0,Spruce
2795.0, 18.0, 3.0, 218.0, 17.0, 3042.0, 217.0, 233.0, 153.0, 6073.0,Lodgepole
2555.0, 58.0, 14.0, 285.0, 19.0, 1231.0, 230.0, 209.0, 109.0, 4159.0,Lodgepole
2499.0, 42.0, 13.0, 497.0, -7.0, 953.0, 222.0, 212.0, 123.0, 3950.0,Lodgepole
3027.0, 173.0, 11.0, 335.0, 42.0, 5678.0, 227.0, 245.0, 149.0, 1900.0,Spruce
3096.0, 160.0, 15.0, 85.0, 16.0, 6156.0, 234.0, 242.0, 135.0, 2310.0,Spruce
2916.0, 105.0, 13.0, 268.0, 89.0, 5618.0, 242.0, 223.0, 108.0, 4417.0,Lodgepole
2591.0, 42.0, 12.0, 350.0, 22.0, 1398.0, 222.0, 213.0, 125.0, 4224.0,Lodgepole
3185.0, 328.0, 16.0, 127.0, 13.0, 4763.0, 178.0, 219.0, 180.0, 1392.0,Spruce
3021.0, 221.0, 10.0, 324.0, 39.0, 5675.0, 208.0, 250.0, 177.0, 1937.0,Spruce
3083.0, 257.0, 4.0, 510.0, -25.0, 6363.0, 209.0, 242.0, 171.0, 2873.0,Lodgepole
2860.0, 276.0, 33.0, 60.0, 33.0, 5292.0, 115.0, 226.0, 240.0, 4759.0,Lodgepole
3008.0, 196.0, 15.0, 228.0, 20.0, 5535.0, 215.0, 251.0, 166.0, 1924.0,Lodgepole
3034.0, 189.0, 14.0, 384.0, 66.0, 5754.0, 220.0, 250.0, 160.0, 2012.0,Spruce
2873.0, 130.0, 16.0, 67.0, 16.0, 4030.0, 244.0, 230.0, 110.0, 6091.0,Lodgepole
3182.0, 49.0, 13.0, 319.0, 7.0, 4767.0, 225.0, 211.0, 118.0, 1513.0,Spruce
2998.0, 102.0, 12.0, 384.0, 158.0, 6026.0, 239.0, 225.0, 114.0, 4121.0,Lodgepole
2658.0, 357.0, 20.0, 300.0, 54.0, 1597.0, 184.0, 199.0, 149.0, 4286.0,Lodgepole
3175.0, 15.0, 7.0, 366.0, 92.0, 4816.0, 214.0, 226.0, 149.0, 1584.0,Spruce
2952.0, 8.0, 7.0, 488.0, 125.0, 4953.0, 212.0, 227.0, 152.0, 5192.0,Spruce
2622.0, 95.0, 12.0, 484.0, 39.0, 1329.0, 239.0, 222.0, 112.0, 4086.0,Lodgepole
2955.0, 288.0, 21.0, 247.0, 128.0, 5224.0, 156.0, 233.0, 215.0, 4968.0,Lodgepole
2837.0, 66.0, 9.0, 201.0, 23.0, 3655.0, 229.0, 221.0, 124.0, 6341.0,Lodgepole
3182.0, 45.0, 3.0, 458.0, 109.0, 4723.0, 220.0, 232.0, 149.0, 1661.0,Spruce
3077.0, 129.0, 3.0, 618.0, 43.0, 6296.0, 225.0, 237.0, 147.0, 3261.0,Lodgepole
2755.0, 320.0, 4.0, 30.0, -1.0, 2890.0, 209.0, 236.0, 165.0, 5468.0,Lodgepole
3047.0, 28.0, 11.0, 600.0, 13.0, 6414.0, 216.0, 215.0, 134.0, 3540.0,Spruce
2880.0, 86.0, 12.0, 30.0, 3.0, 4369.0, 237.0, 221.0, 113.0, 5906.0,Lodgepole
3221.0, 292.0, 3.0, 424.0, 49.0, 4401.0, 212.0, 238.0, 165.0, 1710.0,Spruce
3182.0, 115.0, 10.0, 553.0, 10.0, 4605.0, 237.0, 231.0, 124.0, 1768.0,Spruce
3064.0, 29.0, 24.0, 150.0, 46.0, 5051.0, 204.0, 182.0, 104.0, 2148.0,Spruce
2827.0, 332.0, 15.0, 42.0, 9.0, 3599.0, 185.0, 221.0, 174.0, 6067.0,Lodgepole
2518.0, 107.0, 5.0, 360.0, 39.0, 553.0, 229.0, 234.0, 139.0, 3522.0,Lodgepole
3050.0, 180.0, 4.0, 277.0, -3.0, 5782.0, 221.0, 242.0, 156.0, 2721.0,Spruce
3107.0, 356.0, 12.0, 283.0, 89.0, 4855.0, 201.0, 219.0, 155.0, 2069.0,Spruce
2995.0, 173.0, 15.0, 268.0, 135.0, 6312.0, 228.0, 246.0, 146.0, 4135.0,Lodgepole
2721.0, 164.0, 4.0, 67.0, -2.0, 1747.0, 224.0, 241.0, 152.0, 4191.0,Lodgepole
3182.0, 116.0, 7.0, 579.0, 10.0, 4425.0, 233.0, 233.0, 133.0, 1854.0,Spruce
2724.0, 132.0, 11.0, 60.0, -2.0, 2720.0, 238.0, 234.0, 124.0, 4875.0,Lodgepole
2515.0, 90.0, 9.0, 313.0, 39.0, 511.0, 233.0, 227.0, 125.0, 3451.0,Lodgepole
3017.0, 46.0, 22.0, 212.0, 52.0, 5118.0, 221.0, 188.0, 92.0, 2352.0,Spruce
3077.0, 256.0, 4.0, 618.0, 210.0, 6230.0, 210.0, 242.0, 170.0, 3734.0,Lodgepole
2929.0, 338.0, 8.0, 190.0, 39.0, 4393.0, 202.0, 228.0, 165.0, 6106.0,Lodgepole
2735.0, 127.0, 12.0, 67.0, 6.0, 2806.0, 240.0, 232.0, 120.0, 4924.0,Lodgepole
2893.0, 319.0, 20.0, 150.0, 43.0, 5825.0, 164.0, 217.0, 192.0, 4667.0,Lodgepole
3231.0, 45.0, 4.0, 648.0, 59.0, 4173.0, 221.0, 231.0, 147.0, 1921.0,Spruce
2560.0, 89.0, 10.0, 218.0, 34.0, 731.0, 235.0, 224.0, 120.0, 3505.0,Lodgepole
3162.0, 43.0, 15.0, 484.0, 144.0, 4657.0, 221.0, 205.0, 115.0, 2188.0,Spruce
2982.0, 188.0, 14.0, 120.0, -2.0, 5501.0, 220.0, 250.0, 160.0, 2750.0,Spruce
2731.0, 66.0, 5.0, 0.0, 0.0, 2826.0, 225.0, 230.0, 141.0, 4873.0,Lodgepole
3172.0, 50.0, 11.0, 759.0, 0.0, 4287.0, 225.0, 215.0, 123.0, 2037.0,Spruce
2916.0, 138.0, 21.0, 127.0, 49.0, 6349.0, 247.0, 227.0, 98.0, 4206.0,Lodgepole
2890.0, 63.0, 17.0, 153.0, 35.0, 3670.0, 233.0, 202.0, 96.0, 5757.0,Lodgepole
2704.0, 45.0, 10.0, 323.0, 22.0, 1323.0, 223.0, 219.0, 130.0, 3734.0,Lodgepole
3198.0, 23.0, 18.0, 604.0, 180.0, 4545.0, 207.0, 200.0, 124.0, 2285.0,Spruce
2985.0, 214.0, 5.0, 342.0, 63.0, 5495.0, 215.0, 245.0, 166.0, 3195.0,Lodgepole
3011.0, 323.0, 21.0, 443.0, 161.0, 5838.0, 164.0, 214.0, 188.0, 4910.0,Lodgepole
3024.0, 312.0, 18.0, 474.0, 177.0, 5785.0, 169.0, 224.0, 194.0, 4961.0,Lodgepole
2763.0, 7.0, 12.0, 85.0, 17.0, 2850.0, 205.0, 216.0, 148.0, 4788.0,Lodgepole
3244.0, 56.0, 16.0, 618.0, 76.0, 3865.0, 229.0, 204.0, 104.0, 2225.0,Spruce
2955.0, 9.0, 10.0, 85.0, 10.0, 5167.0, 209.0, 221.0, 149.0, 2819.0,Spruce
3201.0, 10.0, 13.0, 984.0, 180.0, 4136.0, 205.0, 213.0, 143.0, 2289.0,Spruce
2972.0, 36.0, 25.0, 30.0, 0.0, 5113.0, 209.0, 176.0, 90.0, 2816.0,Spruce
2985.0, 167.0, 13.0, 458.0, 66.0, 5571.0, 230.0, 244.0, 144.0, 3519.0,Lodgepole
2539.0, 23.0, 17.0, 90.0, 15.0, 488.0, 207.0, 201.0, 125.0, 3115.0,Lodgepole
3001.0, 260.0, 8.0, 720.0, 134.0, 5790.0, 200.0, 245.0, 183.0, 3903.0,Lodgepole
2952.0, 51.0, 10.0, 150.0, 16.0, 5123.0, 225.0, 218.0, 126.0, 2960.0,Spruce
2962.0, 211.0, 13.0, 255.0, 43.0, 5365.0, 209.0, 252.0, 177.0, 3337.0,Lodgepole
3004.0, 0.0, 12.0, 484.0, 85.0, 5068.0, 202.0, 217.0, 152.0, 5840.0,Spruce
2727.0, 45.0, 4.0, 124.0, 21.0, 2285.0, 221.0, 231.0, 147.0, 4245.0,Lodgepole
3004.0, 167.0, 17.0, 603.0, 137.0, 5798.0, 232.0, 244.0, 137.0, 4031.0,Lodgepole
2886.0, 22.0, 8.0, 285.0, 31.0, 3849.0, 215.0, 222.0, 144.0, 5557.0,Lodgepole
3024.0, 344.0, 8.0, 600.0, 105.0, 5201.0, 203.0, 227.0, 163.0, 5764.0,Spruce
3034.0, 187.0, 14.0, 335.0, 148.0, 6084.0, 221.0, 249.0, 158.0, 4921.0,Lodgepole
2903.0, 279.0, 13.0, 190.0, 26.0, 4179.0, 184.0, 241.0, 197.0, 5904.0,Lodgepole
2926.0, 245.0, 4.0, 30.0, 7.0, 5180.0, 212.0, 243.0, 169.0, 3331.0,Spruce
2942.0, 200.0, 16.0, 180.0, 23.0, 5276.0, 212.0, 252.0, 170.0, 3470.0,Lodgepole
2991.0, 54.0, 13.0, 495.0, 65.0, 4849.0, 227.0, 211.0, 115.0, 6214.0,Lodgepole
2742.0, 116.0, 9.0, 150.0, 21.0, 2475.0, 236.0, 231.0, 126.0, 4314.0,Lodgepole
2606.0, 356.0, 18.0, 67.0, 26.0, 911.0, 188.0, 205.0, 152.0, 3174.0,Lodgepole
3244.0, 326.0, 5.0, 750.0, 53.0, 3730.0, 207.0, 234.0, 166.0, 2460.0,Spruce
3237.0, 27.0, 14.0, 997.0, 36.0, 4002.0, 213.0, 210.0, 130.0, 2506.0,Spruce
2616.0, 359.0, 24.0, 42.0, 15.0, 977.0, 176.0, 187.0, 142.0, 3186.0,Lodgepole
